facility_id,facility_name,facility_type,capacity,region,licence_issue_date,inspection_date,gps_location,remarks
Hf-0000,Burgess-Ingram Medical Center,Community Health Ctr.,0.0,St.Lucy,04-01-21,08 Mar 2024,"13.08576, -58.75331",Nan
033477,Collins Inc,Hosp.,0.0,St.Peter,28 Mar 2024,17-04-23,Point(-58.84001 12.87196),Good
2,Butler-Leon Clinic (St.),Hospital,0.0,St. James Parish,2016-02-18,30/12/22,"-58.82307, 13.00952",Good
Hf-0003,"Powell, Morales And Butler Infirmary",Health Ctr.,0.0,St. Lucy,November 21 2020,07-03-24,"12.77293, -59.04279",Follow-Up 2023
00004,"Williams, Woods And Bradley Polyclinic",Hospital,0.0,St Andrew,17-04-21,January 31 2024,13°12′43″N 58°51′50″W,Nan
Nan,May And Sons Medical Center (St),Polyclinic 🏥,0.0,St Peter,20160217,2018-01-01,13°2′6″N 59°0′38″W,Follow-Up 2023
00006,"Herrera,-Taylor-And-Sanchez (St.Andrew)",Health Centre,0.0,St.Andrew,06/11/21,22 Mar 2018,13°14′8″N 59°2′1″W,-
007,Wagner-Franklin Health Centre,Clinic,0.0,St. James,18/05/18,July 31 2019,"-59.10919, 13.04721",Nan
Nan,"Hurley, Jensen And Perkins Hosp. (St.)",Hosp.,0.0,St. Lucy,09-09-25,20250926,"13.21772, -59.18644",Reinspection Due
Hf-0009,Lee-Macias Polyclinic©,Community Health Centre,0.0,St. Andrew,November 13 2019,20240815,12°53′44″N 58°59′13″W,Reinspection Due
Nan,"White,-Wilcox-And-Martin Medical Center (St.)",Polyclinic 🏥,0.0,St. Andrew,18-01-24,20191216,"12.71967, -58.88816",-
011,Brown-Wilson 🏥 (Christchurch),Community Health Centre,0.0,Christchurch,27-09-20,13-03-19,13°14′19″N 59°2′18″W,Reinspection Due
#12,"Newton,-Peters-And-Rivera©",Community Health Ctr.,0.0,Christ Church,23-08-24,20230506,Point(-59.22110 13.22506),Nan
#13,"Barr, Conley And Mendoza Clinic (St.)",Polyclinic,0.0,St. James,August 16 2024,08-01-22,Point(-58.87985 13.17264),-
333Db8,Zimmerman And Sons Infirmary (St.),Polyclinic,0.0,St. Lucy,02-10-19,2025-11-18,Point(-58.91250 13.17008),Good
015,"Martinez, Williams And Ellis Polyclinic (St.James)",Hospital,0.0,St.James,01-07-17,08-01-23,12°58′58″N 59°13′20″W,Follow-Up 2023
Af30F0,Bradley Plc,Clinic,0.0,St. George,20-08-20,16/05/18,12°51′29″N 59°7′49″W,♥
00017,Wagner Llc 🏥,Unknown,0.0,Christchurch,12-09-16,24 Jul 2023,"13.09928, -58.88444",♥
6F82F6,Case And Sons Polyclinic,Polyclinic 🏥,0.0,St. James,10 Sep 2018,25-09-24,"13.07409, -58.84039",Nan
00019,"Rodriguez, Mayer And Hamilton",Clinic,0.0,St Joseph,December 31 2025,27-02-24,-58.71602;12.98428,Nan
2Ba130,Brown Plc Polyclinic,Polyclinic 🏥,0.0,St James,July 07 2016,28 May 2024,12°43′45″N 59°17′10″W,Reinspection Due
Nan,Guerrero Plc Hospital (St.),Health Ctr.,0.0,St. George,20191225,2023-05-31,"-59.10385, 12.84030",Reinspection Due
022,Baker-Taylor Hosp.,Unknown,0.0,St. Joseph,02/04/18,20190602,"-59.24115, 12.70994",Nan
23,"Allen, Riley And Kennedy©",Hospital,0.0,St. Peter Parish,22 Oct 2025,2022-10-31,,Reinspection Due
024,Lowe-Morris Health Centre,Community Health Ctr.,408.0,St.John,01-04-17,23-11-25,,-
Hf-0025,"Adams,-Silva-And-Davidson Medical Center (St.)",Unknown,0.0,St. George Parish,September 03 2021,12-11-25,Point(-59.06883 13.11901),-
Nan,"Lopez, Allen And Estrada Hosp. (St.)",Hosp.,0.0,St. Michael,October 14 2018,2023-05-20,,Reinspection Due
3B7308,"Miller, Pennington And Blake",Hospital,0.0,St.Peter,June 23 2022,May 02 2022,-58.84368;12.85638,Nan
00028,Johnson Group Clinic,Health Centre,0.0,St.Michael,25 Jul 2023,2021-06-25,Point(-59.24123 13.12849),♥
00028,Johnson Group Clin.,Health Centre,0.0,St.Michael,25 Jul 2023,2021-06-25,Point(-59.24123 13.12849),♥
029,"Bentley, Scott And Graves Clinic",Unknown,0.0,St. Joseph,22 Dec 2019,20191030,"13.24629, -58.98848",-
030,Owens Ltd 🏥 (Semaj),Hosp.,0.0,Semaj .Ts,08-03-22,February 28 2025,Point(-58.80217 13.14441),Follow-Up 2023
00031,"Price, Andrews And Scott Medical Center",Community Health Ctr.,0.0,St. Andrew,22-07-23,06 Nov 2019,,Nan
Nan,"Young, Dickerson And Wells",Health Ctr.,0.0,St. Peter,2022-04-03,20231102,Point(-59.23137 12.99300),Good
033,Cook-Dean (Christ),Clinic🌡️,0.0,Christ Church,04/04/24,July 22 2020,-59.05377;13.23725,
776A5F,"Cook, Potter And Fritz (Christ)",Health Ctr.,0.0,Christ Church,27-12-25,April 21 2023,Point(-58.83182 12.77064),Nan
00035,Johnson Ltd Hosp. (Nhoj),Community Health Centre,295.0,Nhoj .Ts,20170120,29/07/24,12°58′33″N 58°56′32″W,♥
00036,Harvey Plc Clinic (St.),Unknown,0.0,St. Peter,21 Aug 2021,20-05-22,-59.18486;13.03728,Needs Upgrade
00036,Harvey Plc Clin. (St.),Unknown,0.0,St. Peter,21 Aug 2021,20-05-22,-59.18486;13.03728,Needs Upgrade
00037,Jones Group Hosp. (St.),Clinic,75.0,St. George,December 30 2020,03/11/22,"13.29409, -58.72088",Good
038,Chapman Plc 🏥 (Christ),Health Ctr.,0.0,Christ Church,February 11 2025,05 Jan 2018,Point(-59.15735 12.70734),Good
Da683E,"Good,-Martin-And-Wade",Hospital,0.0,St.Lucy,31 Jan 2022,06 Apr 2019,Point(-58.98195 12.80190),-
#40,Taylor-Turner Health Centre (St.),Community Health Ctr.,0.0,St. George,2017-11-18,09/02/21,"-58.77812, 13.24369",Needs Upgrade
A677B0,"Richardson,-Spencer-And-Johns Hosp.",Clinic🌡️,0.0,Christ Church,20201217,20211008,Point(-59.04428 12.74772),Follow-Up 2023
042,Kennedy-Arnold Infirmary,Chc,0.0,St.Joseph,20250824,2018-11-09,,Follow-Up 2023
#43,"Grimes, Wilson And Harvey Health Centre",Unknown,0.0,St Michael,20240413,20210919,-58.86839;13.12192,Good
#44,Nguyen-Poole Health Centre (St),Clinic🌡️,0.0,St Lucy,06-01-17,March 23 2022,,Good
00045,Pierce And Sons Polyclinic,Clinic,0.0,St. Peter,2024-11-24,01/06/20,Point(-59.15415 13.04323),Reinspection Due
#46,Contreras-Moreno Hospital,Health Ctr.,0.0,St. Michael,28-08-16,24/11/24,Point(-58.99580 13.11947),♥
Nan,Jones-Moon,Community Health Ctr.,391.0,St James,21/10/23,20180920,"13.18918, -59.29334",Good
Nan,"Ramirez, Cooper And Stone Hospital (St)",Hospital,0.0,St Andrew,20241230,2021-10-24,"-58.76473, 12.82983",Follow-Up 2023
Nan,"Ramirez, Cooper And Stone Hosp. (St)",Hospital,0.0,St Andrew,20241230,2021-10-24,"-58.76473, 12.82983",Follow-Up 2023
00049,Shepard-Plc,Clinic🌡️,0.0,St.Joseph,19 Jun 2016,2023-04-08,13°3′0″N 58°48′9″W,
00050,"Bean, Colon And Baird Infirmary",Clinic,0.0,St. Lucy,22-03-24,2024-07-03,13°16′37″N 58°52′22″W,♥
Nan,"Pierce, Glenn And Norton Hosp.✨",Unknown,0.0,St. Lucy Parish,10-06-25,20240404,"13.15939, -59.20132",Good
